"","vote_2020","gender","education","state","household_income","race_ethnicity","census_region","employment","vote_intention","registration","age_group"
"1","1","Female","Associate Degree","WI","$75,000 to $79,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"2","1","Female","College Degree (such as B.A., B.S.)","VA","$175,000 to $199,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"3","1","Female","High school graduate","TX","$65,000 to $69,999","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"4","1","Female","High school graduate","WA","Less than $14,999","White","West","Not in labor force","Yes, I will vote","Registered","ages45to59"
"5","0","Female","Completed some college, but no degree","MA","$80,000 to $84,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages18to29"
"6","0","Female","Completed some college, but no degree","TX","Less than $14,999","Black, or African American","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"7","1","Female","Completed some college, but no degree","CA","$40,000 to $44,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"8","1","Female","College Degree (such as B.A., B.S.)","NC","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"9","1","Female","Completed some graduate, but no degree","MD","$20,000 to $24,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"10","0","Female","Completed some college, but no degree","FL","$60,000 to $64,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"11","1","Female","Other post high school vocational training","WV","$15,000 to $19,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"12","0","Female","High school graduate","OH","$30,000 to $34,999","White","Midwest","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"13","0","Female","College Degree (such as B.A., B.S.)","NY","$30,000 to $34,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"14","0","Female","Completed some college, but no degree","KY","$40,000 to $44,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"15","1","Male","College Degree (such as B.A., B.S.)","IN","$150,000 to $174,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"16","0","Male","College Degree (such as B.A., B.S.)","WA","Less than $14,999","White","West","Employed","Yes, I will vote","Registered","ages30to44"
"17","1","Female","Completed some graduate, but no degree","IA","$40,000 to $44,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"18","1","Female","College Degree (such as B.A., B.S.)","SC","$75,000 to $79,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"19","0","Male","Associate Degree","MN","$85,000 to $89,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"20","1","Female","Completed some college, but no degree","GA","$90,000 to $94,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"21","1","Female","Masters degree","PA","$75,000 to $79,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"22","0","Female","College Degree (such as B.A., B.S.)","NJ","$60,000 to $64,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"23","1","Female","Associate Degree","VA","$30,000 to $34,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"24","1","Female","Completed some college, but no degree","SC","$100,000 to $124,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"25","1","Female","Associate Degree","TX","$100,000 to $124,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"26","0","Female","Completed some college, but no degree","FL","Less than $14,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages18to29"
"27","0","Female","Masters degree","AZ","$65,000 to $69,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"28","0","Male","Masters degree","IL","$45,000 to $49,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"29","1","Male","Completed some college, but no degree","OH","$75,000 to $79,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"30","0","Female","Masters degree","OH","$80,000 to $84,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"31","0","Male","Completed some college, but no degree","CA","$40,000 to $44,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"32","1","Female","Completed some high school","FL","$20,000 to $24,999","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"33","0","Female","College Degree (such as B.A., B.S.)","NC","$65,000 to $69,999","Black, or African American","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"34","0","Male","College Degree (such as B.A., B.S.)","TX","$200,000 to $249,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"35","0","Female","Doctorate degree","FL","$150,000 to $174,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"36","0","Female","College Degree (such as B.A., B.S.)","TX","$95,000 to $99,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"37","0","Female","College Degree (such as B.A., B.S.)","NJ","$80,000 to $84,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"38","1","Female","Completed some college, but no degree","OR","Less than $14,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"39","1","Female","College Degree (such as B.A., B.S.)","PA","$25,000 to $29,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"40","0","Female","College Degree (such as B.A., B.S.)","PA","$100,000 to $124,999","Black, or African American","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"41","0","Female","Completed some college, but no degree","NC","$80,000 to $84,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"42","1","Female","Other post high school vocational training","TX","$35,000 to $39,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"43","1","Male","Masters degree","VA","$75,000 to $79,999","Other asian or pacific islander","South","Employed","Yes, I will vote","Registered","ages30to44"
"44","1","Male","Masters degree","OH","$95,000 to $99,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"45","0","Female","Completed some graduate, but no degree","CA","$125,000 to $149,999","Chinese","West","Employed","Yes, I will vote","Registered","ages30to44"
"46","0","Female","Masters degree","IL","$85,000 to $89,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"47","1","Female","Completed some graduate, but no degree","NC","$100,000 to $124,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"48","0","Female","Other post high school vocational training","MI","$50,000 to $54,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"49","0","Female","Masters degree","CA","$150,000 to $174,999","White","West","Employed","Yes, I will vote","Registered","ages18to29"
"50","0","Female","Completed some college, but no degree","MI","$65,000 to $69,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"51","0","Male","Completed some high school","CT","$30,000 to $34,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"52","1","Female","College Degree (such as B.A., B.S.)","NC","$50,000 to $54,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"53","1","Female","Associate Degree","CT","$45,000 to $49,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"54","1","Female","Masters degree","NC","$40,000 to $44,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"55","1","Female","Associate Degree","OR","$30,000 to $34,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"56","1","Female","Masters degree","IL","$100,000 to $124,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"57","1","Female","Masters degree","CA","$30,000 to $34,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"58","0","Female","Masters degree","FL","$150,000 to $174,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"59","0","Female","College Degree (such as B.A., B.S.)","IA","$35,000 to $39,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"60","1","Female","Masters degree","GA","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"61","0","Female","Masters degree","NY","$75,000 to $79,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"62","0","Female","Associate Degree","WA","$25,000 to $29,999","White","West","Employed","Yes, I will vote","Registered","ages60plus"
"63","0","Female","Completed some college, but no degree","MI","$60,000 to $64,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"64","0","Female","Other post high school vocational training","OH","$55,000 to $59,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages45to59"
"65","1","Female","High school graduate","IL","$45,000 to $49,999","White","Midwest","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages30to44"
"66","0","Female","High school graduate","MA","$90,000 to $94,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"67","0","Female","Masters degree","MO","$80,000 to $84,999","Chinese","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"68","0","Female","Masters degree","CO","$60,000 to $64,999","White","West","Employed","Yes, I will vote","Registered","ages45to59"
"69","1","Female","College Degree (such as B.A., B.S.)","NC","$90,000 to $94,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"70","0","Female","Masters degree","NY","$70,000 to $74,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"71","1","Female","High school graduate","IN","$60,000 to $64,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"72","0","Female","College Degree (such as B.A., B.S.)","CA","$50,000 to $54,999","Chinese","West","Employed","Yes, I will vote","Registered","ages30to44"
"73","1","Female","Completed some college, but no degree","FL","$250,000 and above","White","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages18to29"
"74","1","Female","Completed some college, but no degree","PA","$65,000 to $69,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"75","1","Female","Other post high school vocational training","SC","$25,000 to $29,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"76","1","Female","Masters degree","IL","$100,000 to $124,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"77","0","Female","Completed some college, but no degree","OH","$15,000 to $19,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"78","1","Male","Masters degree","NY","$90,000 to $94,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"79","1","Male","Completed some college, but no degree","IA","$65,000 to $69,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"80","1","Female","Masters degree","WI","$125,000 to $149,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"81","0","Female","College Degree (such as B.A., B.S.)","CT","$85,000 to $89,999","White","Northeast","Employed","Yes, I will vote","Registered","ages18to29"
"82","1","Female","High school graduate","PA","$30,000 to $34,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"83","0","Female","Completed some graduate, but no degree","NJ","$100,000 to $124,999","White","Northeast","Employed","Yes, I will vote","Registered","ages60plus"
"84","0","Female","Masters degree","DC","$60,000 to $64,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"85","0","Male","Masters degree","PA","$100,000 to $124,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"86","1","Male","Associate Degree","GA","$45,000 to $49,999","White","South","Unemployed or temporarily on layoff","Not sure","Registered","ages18to29"
"87","0","Female","Masters degree","NY","$150,000 to $174,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"88","1","Male","Masters degree","FL","$150,000 to $174,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"89","0","Male","Completed some high school","FL","Less than $14,999","Black, or African American","South","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages18to29"
"90","0","Male","Completed some college, but no degree","NY","Less than $14,999","Chinese","Northeast","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages45to59"
"91","1","Female","Associate Degree","GA","$30,000 to $34,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"92","1","Female","Completed some college, but no degree","IL","$90,000 to $94,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"93","0","Male","Completed some college, but no degree","NM","$55,000 to $59,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"94","0","Female","College Degree (such as B.A., B.S.)","TN","$100,000 to $124,999","White","South","Not in labor force","Yes, I will vote","Registered","ages45to59"
"95","0","Female","College Degree (such as B.A., B.S.)","CA","$25,000 to $29,999","Chinese","West","Employed","Yes, I will vote","Registered","ages45to59"
"96","1","Female","College Degree (such as B.A., B.S.)","NC","$55,000 to $59,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"97","1","Female","Completed some college, but no degree","VA","$40,000 to $44,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"98","1","Male","College Degree (such as B.A., B.S.)","MN","$45,000 to $49,999","White","Midwest","Employed","Yes, I will vote","Registered","ages30to44"
"99","1","Male","Associate Degree","WI","$25,000 to $29,999","White","Midwest","Employed","Yes, I will vote","Registered","ages60plus"
"100","0","Female","Masters degree","PA","$100,000 to $124,999","White","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"101","0","Female","Completed some college, but no degree","OK","$30,000 to $34,999","White","South","Employed","Yes, I will vote","Registered","ages18to29"
"102","1","Female","Masters degree","IL","$100,000 to $124,999","White","Midwest","Not in labor force","Yes, I will vote","Registered","ages60plus"
"103","1","Male","Masters degree","FL","$100,000 to $124,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
"104","1","Female","Doctorate degree","TX","$55,000 to $59,999","White","South","Not in labor force","Yes, I will vote","Registered","ages45to59"
"105","1","Female","College Degree (such as B.A., B.S.)","IN","$55,000 to $59,999","White","Midwest","Unemployed or temporarily on layoff","Not sure","Registered","ages18to29"
"106","1","Male","College Degree (such as B.A., B.S.)","OH","$15,000 to $19,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"107","0","Male","Associate Degree","AZ","$50,000 to $54,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"108","1","Female","College Degree (such as B.A., B.S.)","NJ","$125,000 to $149,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"109","0","Male","Completed some college, but no degree","CO","$40,000 to $44,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"110","0","Male","Masters degree","PA","$40,000 to $44,999","Other asian or pacific islander","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"111","0","Female","Completed some college, but no degree","OH","$40,000 to $44,999","White","Midwest","Employed","Yes, I will vote","Registered","ages45to59"
"112","0","Male","Associate Degree","HI","$25,000 to $29,999","Japanese","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"113","0","Male","Masters degree","CT","$95,000 to $99,999","White","Northeast","Employed","Yes, I will vote","Registered","ages45to59"
"114","0","Female","Masters degree","FL","$150,000 to $174,999","White","South","Employed","Yes, I will vote","Registered","ages30to44"
"115","0","Female","Associate Degree","NJ","$60,000 to $64,999","Black, or African American","Northeast","Unemployed or temporarily on layoff","Yes, I will vote","Registered","ages60plus"
"116","1","Female","Other post high school vocational training","TX","Less than $14,999","White","South","Not in labor force","Yes, I will vote","Registered","ages45to59"
"117","1","Male","Associate Degree","TX","$80,000 to $84,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"118","1","Male","Masters degree","MT","$100,000 to $124,999","White","West","Not in labor force","Yes, I will vote","Registered","ages60plus"
"119","0","Female","Completed some college, but no degree","PA","$15,000 to $19,999","White","Northeast","Not in labor force","Yes, I will vote","Registered","ages60plus"
"120","1","Male","College Degree (such as B.A., B.S.)","CA","$40,000 to $44,999","Chinese","West","Employed","Yes, I will vote","Registered","ages60plus"
"121","1","Female","Completed some college, but no degree","TN","$45,000 to $49,999","White","South","Not in labor force","Yes, I will vote","Registered","ages60plus"
"122","0","Female","Completed some college, but no degree","NC","$30,000 to $34,999","White","South","Employed","Yes, I will vote","Registered","ages60plus"
"123","1","Female","High school graduate","PA","$15,000 to $19,999","White","Northeast","Employed","Yes, I will vote","Registered","ages18to29"
"124","0","Female","Associate Degree","CT","$75,000 to $79,999","Other","Northeast","Employed","Yes, I will vote","Registered","ages30to44"
"125","1","Female","Doctorate degree","TN","$100,000 to $124,999","Black, or African American","South","Employed","Yes, I will vote","Registered","ages30to44"
"126","1","Female","College Degree (such as B.A., B.S.)","TN","$175,000 to $199,999","White","South","Employed","Yes, I will vote","Registered","ages45to59"
